campaign_id,phase_id,acquisition_id,result_set_id,quantity_name,value,unit,statistic,reference_plane,sign_convention,correction_state,standard_uncertainty,coverage_factor,expanded_uncertainty,quality_flag,analysis_artifact_id,notes
system_recalibration_001,HF-01,HF01-TIMING10-001,HF01-RESULT-TIMING10-PARTIAL,pico_b_rising_relative_to_ext_trigger,11.2,ns,mean,PicoScope B relative to EXT,positive means B after EXT,raw,,1,,REJECTED_PARTIAL,HF01-ANALYSIS-TIMING10-001,Ten segments; cannot compose A-B and C-D copy offsets without HF2 DIO timestamps
system_recalibration_001,HF-01,HF01-TIMING10-001,HF01-RESULT-TIMING10-PARTIAL,pico_b_rising_relative_to_ext_trigger,1.0327955589886446,ns,sample_standard_deviation,PicoScope B relative to EXT,positive means B after EXT,raw,,1,,REJECTED_PARTIAL,HF01-ANALYSIS-TIMING10-001,Pico sample interval 2 ns
system_recalibration_001,HF-01,HF01-TIMING10-001,HF01-RESULT-TIMING10-PARTIAL,t660_elapsed_event_count,10,count,count,T660-2,,raw,,1,,PASS_PARTIAL,HF01-ANALYSIS-TIMING10-001,Exactly ten events
system_recalibration_001,HF-01,HF01-TIMING10-001,HF01-RESULT-TIMING10-PARTIAL,hf2_dio_export_path_count,0,count,count,HF2LI demodulator 2 sample DIO,,raw,,1,,FAIL,HF01-ANALYSIS-TIMING10-001,Saved paths were sample.x and sample.y
system_recalibration_001,HF-01,HF01-TIMING10-R1-001,HF01-RESULT-TIMING10-R1-PARTIAL,pico_b_rising_relative_to_ext_trigger,11.4,ns,mean,PicoScope B relative to EXT,positive means B after EXT,raw,,1,,REJECTED_PARTIAL,HF01-ANALYSIS-TIMING10-R1-001,Ten segments; sample interval 2 ns
system_recalibration_001,HF-01,HF01-TIMING10-R1-001,HF01-RESULT-TIMING10-R1-PARTIAL,pico_b_rising_relative_to_ext_trigger,0.9660917830792959,ns,sample_standard_deviation,PicoScope B relative to EXT,positive means B after EXT,raw,,1,,PASS_PARTIAL,HF01-ANALYSIS-TIMING10-R1-001,Meets raw Pico repeatability term but cannot compose HF2 copy offsets
system_recalibration_001,HF-01,HF01-TIMING10-R1-001,HF01-RESULT-TIMING10-R1-PARTIAL,hf2_dio0_rising_edge_count,0,count,count,HF2LI DIO0,,raw,,1,,FAIL,HF01-ANALYSIS-TIMING10-R1-001,150 ns high state was shorter than streamed sample interval
system_recalibration_001,HF-01,HF01-TIMING10-R1-001,HF01-RESULT-TIMING10-R1-PARTIAL,hf2_dio1_rising_edge_count,0,count,count,HF2LI DIO1,,raw,,1,,FAIL,HF01-ANALYSIS-TIMING10-R1-001,150 ns high state was shorter than streamed sample interval
system_recalibration_001,HF-01,HF01-TIMING10-R2-001,HF01-RESULT-TIMING10-R2-PARTIAL,pico_b_rising_relative_to_ext_trigger,11.2,ns,mean,PicoScope B relative to EXT,positive means B after EXT,raw,,1,,REJECTED_PARTIAL,HF01-ANALYSIS-TIMING10-R2-001,Ten segments; sample interval 2 ns
system_recalibration_001,HF-01,HF01-TIMING10-R2-001,HF01-RESULT-TIMING10-R2-PARTIAL,pico_b_rising_relative_to_ext_trigger,1.0327955589886446,ns,sample_standard_deviation,PicoScope B relative to EXT,positive means B after EXT,raw,,1,,PASS_PARTIAL,HF01-ANALYSIS-TIMING10-R2-001,Meets 20 ns raw Pico repeatability limit
system_recalibration_001,HF-01,HF01-TIMING10-R2-001,HF01-RESULT-TIMING10-R2-PARTIAL,hf2_dio0_rising_edge_count,1,count,count,HF2LI DIO0,,raw,,1,,FAIL,HF01-ANALYSIS-TIMING10-R2-001,First event captured; HF2 poll ended before events two through ten
system_recalibration_001,HF-01,HF01-TIMING10-R2-001,HF01-RESULT-TIMING10-R2-PARTIAL,hf2_dio1_rising_edge_count,1,count,count,HF2LI DIO1,,raw,,1,,FAIL,HF01-ANALYSIS-TIMING10-R2-001,First event captured in same streamed sample as DIO0; HF2 poll ended before events two through ten
system_recalibration_001,HF-01,HF01-TIMING10-R2-001,HF01-RESULT-TIMING10-R2-PARTIAL,hf2_poll_margin_after_first_edge,53.1552380952381,ms,interval,HF2LI DIO stream,positive means retained stream after first edge,raw,,1,,FAIL,HF01-ANALYSIS-TIMING10-R2-001,Less than one 100 ms event period
system_recalibration_001,HF-01,HF01-TIMING10-R3-001,HF01-RESULT-TIMING10-R3-REJECTED,pico_b_rising_relative_to_ext_trigger,10.8,ns,mean,PicoScope B relative to EXT,positive means B after EXT,raw,,1,,REJECTED_MASTER_CLOCK_UNLOCKED,HF01-ANALYSIS-TIMING10-R3-001,Event statistic preserved but R3 acceptance is superseded by R5
