path,timestamp,sample_index,value
/dev18500/demods/0/sample.x,251020725145600,0,2.6761904732517293e-06
/dev18500/demods/0/sample.x,251020725262336,1,2.1947082639119783e-06
/dev18500/demods/0/sample.x,251020725379072,2,1.6232578167702412e-06
/dev18500/demods/0/sample.x,251020725495808,3,1.166485754241818e-06
/dev18500/demods/0/sample.x,251020725612544,4,8.626692460234232e-07
/dev18500/demods/0/sample.x,251020725729280,5,5.361047856638123e-07
/dev18500/demods/0/sample.x,251020725846016,6,3.6692185682845044e-07
/dev18500/demods/0/sample.x,251020725962752,7,2.9409624412451257e-07
/dev18500/demods/0/sample.x,251020726079488,8,1.3253923796568633e-07
/dev18500/demods/0/sample.x,251020726196224,9,-1.6125846198856673e-07
/dev18500/demods/0/sample.x,251020726312960,10,-6.491504684030352e-07
/dev18500/demods/0/sample.x,251020726429696,11,-1.2936645995811855e-06
/dev18500/demods/0/sample.x,251020726546432,12,-1.983316459732752e-06
/dev18500/demods/0/sample.x,251020726663168,13,-2.6394876044658497e-06
/dev18500/demods/0/sample.x,251020726779904,14,-2.7666628240247934e-06
/dev18500/demods/0/sample.x,251020726896640,15,-2.466654421188742e-06
/dev18500/demods/0/sample.x,251020727013376,16,-2.2627211710718413e-06
/dev18500/demods/0/sample.x,251020727130112,17,-2.2738159296767707e-06
/dev18500/demods/0/sample.x,251020727246848,18,-2.3489616533755206e-06
/dev18500/demods/0/sample.x,251020727363584,19,-2.5520994331658525e-06
/dev18500/demods/0/sample.x,251020727480320,20,-2.8698854906427645e-06
/dev18500/demods/0/sample.x,251020727597056,21,-3.2378860171473206e-06
/dev18500/demods/0/sample.x,251020727713792,22,-3.4458355960366215e-06
/dev18500/demods/0/sample.x,251020727830528,23,-3.4791783375607453e-06
/dev18500/demods/0/sample.x,251020727947264,24,-3.2202985864865565e-06
/dev18500/demods/0/sample.x,251020728064000,25,-2.664035950825762e-06
/dev18500/demods/0/sample.x,251020728180736,26,-2.1293093501994995e-06
/dev18500/demods/0/sample.x,251020728297472,27,-1.930598842544968e-06
/dev18500/demods/0/sample.x,251020728414208,28,-2.0789883091258244e-06
/dev18500/demods/0/sample.x,251020728530944,29,-2.2291552498134116e-06
/dev18500/demods/0/sample.x,251020728647680,30,-2.065128310232972e-06
/dev18500/demods/0/sample.x,251020728764416,31,-1.6977411233347634e-06
/dev18500/demods/0/sample.x,251020728881152,32,-1.6493314512591867e-06
/dev18500/demods/0/sample.x,251020728997888,33,-2.046407369967191e-06
/dev18500/demods/0/sample.x,251020729114624,34,-2.2688118994692565e-06
/dev18500/demods/0/sample.x,251020729231360,35,-2.203461480569947e-06
/dev18500/demods/0/sample.x,251020729348096,36,-2.07171771293083e-06
/dev18500/demods/0/sample.x,251020729464832,37,-1.7664350297535265e-06
/dev18500/demods/0/sample.x,251020729581568,38,-1.0905726600147842e-06
/dev18500/demods/0/sample.x,251020729698304,39,-1.960487963469262e-07
/dev18500/demods/0/sample.x,251020729815040,40,2.7047888163451205e-07
/dev18500/demods/0/sample.x,251020729931776,41,5.287663355780276e-08
/dev18500/demods/0/sample.x,251020730048512,42,-3.582274943562907e-07
/dev18500/demods/0/sample.x,251020730165248,43,-7.128036335874924e-07
/dev18500/demods/0/sample.x,251020730281984,44,-1.0931989552171776e-06
/dev18500/demods/0/sample.x,251020730398720,45,-1.498362759875368e-06
/dev18500/demods/0/sample.x,251020730515456,46,-1.999270800042951e-06
/dev18500/demods/0/sample.x,251020730632192,47,-2.5859356693040986e-06
/dev18500/demods/0/sample.x,251020730748928,48,-3.1259269031058413e-06
/dev18500/demods/0/sample.x,251020730865664,49,-3.3506750464293956e-06
/dev18500/demods/0/sample.x,251020730982400,50,-3.1109937379535977e-06
/dev18500/demods/0/sample.x,251020731099136,51,-2.5488919124122947e-06
/dev18500/demods/0/sample.x,251020731215872,52,-1.8821429417689867e-06
/dev18500/demods/0/sample.x,251020731332608,53,-1.1239165669683297e-06
/dev18500/demods/0/sample.x,251020731449344,54,-1.9955330736484786e-07
/dev18500/demods/0/sample.x,251020731566080,55,7.165719201312517e-07
/dev18500/demods/0/sample.x,251020731682816,56,1.3680244353730586e-06
/dev18500/demods/0/sample.x,251020731799552,57,1.8594526783841576e-06
/dev18500/demods/0/sample.x,251020731916288,58,2.075664310176149e-06
/dev18500/demods/0/sample.x,251020732033024,59,2.058398408543689e-06
/dev18500/demods/0/sample.x,251020732149760,60,1.7755703130236623e-06
/dev18500/demods/0/sample.x,251020732266496,61,1.3186820960295166e-06
/dev18500/demods/0/sample.x,251020732383232,62,5.494989365182747e-07
/dev18500/demods/0/sample.x,251020732499968,63,-4.5140208748241293e-07
/dev18500/demods/0/sample.x,251020732616704,64,-1.6794245223323245e-06
/dev18500/demods/0/sample.x,251020732733440,65,-3.0915422676784828e-06
/dev18500/demods/0/sample.x,251020732850176,66,-4.3636754291967445e-06
/dev18500/demods/0/sample.x,251020732966912,67,-5.160710215272295e-06
/dev18500/demods/0/sample.x,251020733083648,68,-5.4585986372437165e-06
/dev18500/demods/0/sample.x,251020733200384,69,-5.5150353987013005e-06
/dev18500/demods/0/sample.x,251020733317120,70,-5.551418227618693e-06
/dev18500/demods/0/sample.x,251020733433856,71,-5.645624484767569e-06
/dev18500/demods/0/sample.x,251020733550592,72,-5.8688880004997e-06
/dev18500/demods/0/sample.x,251020733667328,73,-5.969122247095442e-06
/dev18500/demods/0/sample.x,251020733784064,74,-5.6123430577802565e-06
/dev18500/demods/0/sample.x,251020733900800,75,-4.5728788159058405e-06
/dev18500/demods/0/sample.x,251020734017536,76,-3.3452998269509863e-06
/dev18500/demods/0/sample.x,251020734134272,77,-2.3240169315199836e-06
/dev18500/demods/0/sample.x,251020734251008,78,-1.4681361176412575e-06
/dev18500/demods/0/sample.x,251020734367744,79,-6.164312963657408e-07
/dev18500/demods/0/sample.x,251020734484480,80,3.444780817663666e-07
